,Atölye-İşlik,BTSınıfı,Bahçe,Bağlantı,BilimselEtkinlikler,DersBaşlamaveBitiş,Derslik,FenLabaratuarı,FenLaboratuarı,HazırlıkSınıfı,IsınmaŞekli,Kantin,KonferansSalonu,KontenjanBilgileri,Kütüphane,LojmanBilgisi,LojmanSayısı,Misafirhane,MüzikSınıfı,OkulunYGS/LYSBaşarıDurumu,PansiyonBilgisi,ProjeÇalışmaları,RehberÖğretmen,ResimSınıfı,Revir,ServisBilgisi,SporSalonu,SportifEtkinlikler,Taban-TavanPuanBilgileri,YABANCIDIL,Yemekhane,YurtdışıProjeFaaliyetleri,adres,isim,semt,Öğrenci,ÖğretimŞekli,Öğretmen,İlveİlçeMerkezineUzaklık,url
,0,1,0,,,,23,1,,0,,1,1,,0,,,0,0,,,,2,0,0,,0,,,,0,,Bahçelievler Mah.Barış Sok.No14 Pendik,-abdurrahmangazi i̇lkokulu,PENDİK,700,ÖĞLENCİ,30,,http://abdurrahmangaziilkokulu.meb.k12.tr/meb_iys_dosyalar/34/16/739975/okulumuz_hakkinda.html
,0,1,0,,,,25,1,,0,,0,1,,0,,,0,0,,,,0,0,0,,0,,,,0,,Bahçelievler Mah.Barış Sok.No14 Pendik,-abdurrahmangazi ortaokulu,PENDİK,415,SABAHÇI,23,,http://abdurrahmangaziortaokulu.meb.k12.tr/meb_iys_dosyalar/34/16/739974/okulumuz_hakkinda.html
,0,0,1,,,,6,0,,0,,0,1,,1,,,0,0,,,,1,0,1,,1,,,,1,,,-abdurrahman gürses anadolu i̇mam hatip lisesi,BAHÇELİEVLER,149,Örgün-Yatılı,16,,http://abdurrahmangursesihl.meb.k12.tr/meb_iys_dosyalar/34/28/752278/okulumuz_hakkinda.html
,0,0,1,ADSL(4Mbit),,09:002:30,10,,0,0,Doğalgaz,0,0,,1,,0,0,0,,,,0,0,0,Okulservisimizvardır.,0,,,,0,,,-abidin gün i̇lkokulu,ÜSKÜDAR,205,TamGün,11,"9,3Km",http://abidingunilkokulu.meb.k12.tr/meb_iys_dosyalar/34/22/731659/okulumuz_hakkinda.html
,0,1,0,,,,23,1,,0,,0,1,,1,,,0,0,,,,0,0,0,,1,,,,1,,,-acıbadem türk telekom şehit mete sertbaş ortaokulu,ÜSKÜDAR,738,NORMAL(TAMGÜN),44,,http://acibademturktelekomortaokulu.meb.k12.tr/meb_iys_dosyalar/34/22/733773/okulumuz_hakkinda.html
,0,1,0,,,,27,2,,0,,0,0,,1,,,0,,,,,,,0,,0,,,,0,,Yenişehir Mah. Millet Cad. No 8,-cahit zarifoğlu ortaokulu,PENDİK,1003,Normal,46,,http://aczarifoglu.meb.k12.tr/meb_iys_dosyalar/34/16/745022/okulumuz_hakkinda.html
,5,1,1,,,,6,0,,0,,0,0,,0,,,0,0,,,,0,0,0,,0,,,,0,,"Maden Mahallesi Başlala Sokak No19 Büyükada, Adalar/İSTANBUL",-halk eğitim merkezi,ADALAR,1083,TAMGÜN-TAMYIL,28,,http://adalarhem.meb.k12.tr/meb_iys_dosyalar/34/01/753878/okulumuz_hakkinda.html
,0,1,0,,,,20,1,,0,,0,0,,1,,,0,,,,,,,0,,0,,,,0,,Cumhuriyet Mah. Şimşek Sok . No 10  Recep Güngör Anadolu Lisesi Yanı Beykent / Büyükçekmece/İSTANBUL,-adem çelik i̇lkokulu,BÜYÜKÇEKMECE,660,İkiliÖğretim,27,,http://ademcelik.meb.k12.tr/meb_iys_dosyalar/34/06/222211/okulumuz_hakkinda.html
,0,1,0,,,,21,1,,0,,0,0,,1,,,0,,,,,,,0,,0,,,,0,,Cumhuriyet Mah. Şimşek Sok.No 4  Beykent Üniversitesi  Karşısı Büyükçekmece/İstanbul,-adem çelik ortaokulu,BÜYÜKÇEKMECE,741,İkili,38,,http://ademcelikortaokulu.meb.k12.tr/meb_iys_dosyalar/34/06/732976/okulumuz_hakkinda.html
,0,1,0,,,,25,2,,0,,0,1,,1,,,0,,,,,,,0,,0,,,,0,,Kavakpınar Mah. Vatan Cad. No5 Pendik / İSTANBUL  Fuat Köprülü İlkokulu Yanı,-adil erdem bayazıt ortaokulu,PENDİK,1684,ikiliöğretim,73,,http://adilerdembayazit.meb.k12.tr/meb_iys_dosyalar/34/16/735409/okulumuz_hakkinda.html
,0,0,0,,,,0,0,,0,,0,0,,0,,,1,,,,,,,0,,0,,,,1,,,-adile sultan kasrı öğretmenevi ve akşam sanat okulu,ÜSKÜDAR,0,,0,,http://adilesultankasriogretmenevi.meb.k12.tr/meb_iys_dosyalar/34/22/750342/okulumuz_hakkinda.html
,0,2,0,,,,52,2,,0,,0,1,,1,,,0,0,,,,0,0,0,,0,,,,0,,Zümrütevler mh. Hanımeli cad. No21 Maltepe / İSTANBUL   Okulumuz Kadıköy Kartal metro hattı Maltepe durağı Çilek sokak çıkışına 300 m . uzaklıktadır. E5 üzerinde seyreden otobüslerle Maltepe köprüsü durağında inerek okulumuza ulaşabilirsiniz.,-adnan kahveci ortaokulu,MALTEPE,1469,İkiliÖğretim,91,,http://adnankahveciortaokulu.meb.k12.tr/meb_iys_dosyalar/34/30/740677/okulumuz_hakkinda.html
,0,0,0,,,,27,1,,0,,1,1,,1,,,0,0,,,,1,0,0,,0,,,,0,,KARADENİZ MAH. 1150. SK. ADNAN MENDERES İLKOKULU BLOK NO 46 İÇ KAPI NO 1 GAZİOSMANPAŞA / İSTANBUL,-adnan menderes i̇lkokulu,GAZİOSMANPAŞA,1713,İkili,64,,http://adnanmenderesilkokul.meb.k12.tr/meb_iys_dosyalar/34/11/741861/okulumuz_hakkinda.html
,0,1,0,,,,42,1,,0,,0,1,,1,,,0,,,,,,,0,,1,,,,0,,Karadeniz Mah. Menderes cd.  No44/1 Gaziosmanpaşa/ İstanbul,-adnan menderes ortaokulu,GAZİOSMANPAŞA,3200,İKİLİ,92,,http://adnanmenderesortaokul.meb.k12.tr/meb_iys_dosyalar/34/11/741860/okulumuz_hakkinda.html
,3,1,1,,,,29,1,,1,,1,1,,1,,,0,0,,,,2,0,0,,0,,,,0,,Merkez Mahallesi Kemerburgaz Caddesi No15 Kağıthane/İstanbul,-ali fuat cebesoy ortaokulu,KAĞITHANE,1044,TAMGÜN,50,,http://afc.meb.k12.tr/meb_iys_dosyalar/34/13/732114/okulumuz_hakkinda.html
,1,1,1,,,,15,3,,0,,1,1,,1,,,0,0,,,,1,1,0,,1,,,,1,,Ağva Mah. Karaağaç Cad No5 Ağva/Şile /İSTANBUL,-ağva anadolu lisesi,ŞİLE,297,Normal,18,,http://agvaanadolu.meb.k12.tr/meb_iys_dosyalar/34/19/971526/okulumuz_hakkinda.html
,1,1,1,,,,10,0,,0,,0,1,,1,,,0,0,,,,0,0,0,,0,,,,1,,Ağva Mah. Şile Cad. No16 Ağva/Şile /İSTANBUL,-ağva mesleki ve teknik anadolu lisesi,ŞİLE,120,Normal,13,,http://agvamtal.meb.k12.tr/meb_iys_dosyalar/34/19/243894/okulumuz_hakkinda.html
,0,2,1,,,,27,2,,1,,1,1,,1,,,0,0,,,,0,0,0,,1,,,,1,,,-altunizade hafize özal ortaokulu,ÜSKÜDAR,700,TekliEğitim,36,,http://ahafizeozalortaokulu.meb.k12.tr/meb_iys_dosyalar/34/22/736324/okulumuz_hakkinda.html
,2,1,0,,,,15,1,,0,,0,1,,1,,,0,0,,,,0,0,0,,0,,,,0,,Başak Mah. Demokrasi Caddesi No1 Göçmen Konutları / Başakşehir / İSTANBUL,-prof. dr. ahat andıcan ortaokulu,BAŞAKŞEHİR,450,TamGün,24,,http://ahatandican.meb.k12.tr/meb_iys_dosyalar/34/36/731949/okulumuz_hakkinda.html
,0,4,1,,,,33,1,,0,,1,1,,1,,,0,1,,,,3,1,0,,1,,,,0,,Fulya Mh.Mehmetçik Cd. Hüseyin Cahit Yalçın Sk. No2 ŞİŞLİ/İSTANBUL,-ahi evran mesleki ve teknik anadolu lisesi,ŞİŞLİ,1013,Tekli,58,,http://ahievranatml.meb.k12.tr/meb_iys_dosyalar/34/20/872234/okulumuz_hakkinda.html
,0,0,0,,,,4,0,,0,,0,0,,1,,,0,0,,,,0,0,0,,0,,,,0,,Ahmediye Mahallesi Okul Sokak No1 Büyükçekmece/İstanbul,-ahmediye doğuş ortaokulu,BÜYÜKÇEKMECE,86,Tekli,4,,http://ahmediyezubeydehanimortaokulu.meb.k12.tr/meb_iys_dosyalar/34/06/732969/okulumuz_hakkinda.html
,0,1,0,ADSL(1Mbit),,07:05-12:05İLE12:15-17:15,14,,1,0,DOĞALGAZ,0,1,,0,"1´İİDARİTAHSİSLİ,3´ÜSIRATAHSİSLİ",4,0,,,,,,,0,,0,,,,0,,,-çavuşbaşı ahmet akça i̇lkokulu,BEYKOZ,387,İKİLİ,14,İLMERKEZİNE25KMİLÇEMERKEZİNE11KM,http://ahmetakcaio.meb.k12.tr/meb_iys_dosyalar/34/04/733296/okulumuz_hakkinda.html
,0,1,0,,,,14,1,,0,,0,1,,1,,,0,,,,,,,0,,0,,,,0,,Çiftlik Mah. Çavuşbaşı  Cumhuriyet Cad. no144 Beykoz ,-çavuşbaşı ahmet akça ortaokulu,BEYKOZ,229,ikili,16,,http://ahmetakcaoo.meb.k12.tr/meb_iys_dosyalar/34/04/733295/okulumuz_hakkinda.html
,1,1,1,ADSL(16Mbitveüzeri),,Salı:08.45-15.35DiğerGünler:08.45-14.45,24,,1,0,Doğalgaz(Kalorifer),1,1,,1,,0,0,1,,,,2,1,1,Öğrencilerimizehizmetverenokulservisleribulunmaktadır.,1,,,İngilizce,1,,,-ahmet beyaz i̇mam hatip ortaokulu,BEYLİKDÜZÜ,726,Normal/Tekli,45,"İlmerkezine37km,ilçemerkezine2,6km",http://ahmetbeyazimamhatip.meb.k12.tr/meb_iys_dosyalar/34/37/759111/okulumuz_hakkinda.html
,1,2,1,,,,43,2,,0,,1,1,,1,,,0,0,,,,2,1,1,,1,,,,1,,Hürriyet Mah. Cemil Bengü Cad. Neşe S. No3 Kağıthane / İSTANBUL,-ahmet cuhadaroğlu ortaokulu,Tüm ilçeler,1212,NORMAL,67,,http://ahmetcuhadarogluortaokulu.meb.k12.tr/meb_iys_dosyalar/34/13/734425/okulumuz_hakkinda.html
,0,0,1,ADSL(4Mbit),,GirişSaati:09:00,22,,0,0,DOĞALGAZ,1,1,,0,,0,0,0,,,,1,0,0,Okulumuzunservisibulunmaktadır.,0,,,İNGİLİZCE,1,,,-ahmet haşim i̇lkokulu,BAYRAMPAŞA,807,TAMGÜN,35,"İlçeMerkezinde,İleuzaklık10km",http://ahmethasimilkokulu.meb.k12.tr/meb_iys_dosyalar/34/25/733463/okulumuz_hakkinda.html
,1,1,0,,,,58,1,,0,,0,0,,1,,,0,,,,,,,0,,1,,,,0,,Başak Mahallesi Başakşehir 4.etap 1.Kısım,-ahmet kabaklı i̇lkokulu,BAŞAKŞEHİR,2628,2´li,130,,http://ahmetkabakliilkokulu.meb.k12.tr/meb_iys_dosyalar/34/36/742474/okulumuz_hakkinda.html
,0,0,1,ADSL(1Mbit),,09.00-14.20,24,,0,0,DOĞALGAZ,1,1,,0,,0,0,0,,,,1,0,0,,1,,,İNGİLİZCE,0,,,-ahmet keleşoğlu i̇lkokulu,ESENYURT,899,TEKLİ,33,İlçemerkezine3kmuzaklıktadır.,http://ahmetkelesoglu.meb.k12.tr/meb_iys_dosyalar/34/39/760992/okulumuz_hakkinda.html
,0,0,0,,,,30,0,,0,,0,1,,0,,,0,,,,,,,0,,0,,,,0,,Meclis Mah.Ahmet Taner Kışlalı Caddesi No12 Sancaktepe / istanbul,-sarıgazi ahmet keleşoğlu i̇lkokulu,SANCAKTEPE,1462,İkili,65,,http://ahmetkelesogluilkokulu.meb.k12.tr/meb_iys_dosyalar/34/40/739279/okulumuz_hakkinda.html
